Company,Brief Description,Protein Category,Company Focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Province,State,City,Website,Year Founded,Founders,Logo
"OmniFoods, Inc. ","Plant-based meat company based in Asia, primarily producing pork under the brand ""Omnipork""",Plant-based,"Meat,Seafood",End product formulation and manufacturing,"Ground meat,Other","Pork,Fish,Shellfish,Tuna,Crab","Pea,Soy,Mushrooms,Rice",Asia Pacific,China,Guangdong,Hong Kong,https://omnipork.co/,2018,,download (1).png (https://dl.airtable.com/.attachments/e59a7cd948f0ffad74707797f519d6c3/4a43a57a/download1.png)
In a Nutshell,Plant-based cheese company,Plant-based,Dairy,End product formulation and manufacturing,"Cheese,Other",,Cashew,Asia Pacific,Philippines,Rizal,Manila,https://www.inanutshell.com.ph/,2015,,62af58_7b14f0b4a452408485e7cd7c02b05865_mv2_d_3472_3472_s_4_2.webp (https://dl.airtable.com/.attachments/377818fc72f58ff66f81e1a55e91d54c/9eb4edf9/62af58_7b14f0b4a452408485e7cd7c02b05865_mv2_d_3472_3472_s_4_2.webp)
Kroodi,Produces vegan artisanal cheese,Plant-based,Dairy,End product formulation and manufacturing,"Cheese,Other",,Cashew,Asia Pacific,Singapore,,,https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.kroodi.com%2F%3Ffbclid%3DIwAR3JVz2NLndvGhuNKENeVz0T-XBK265dxzHMX05pvQ4Jy49HYqke_omckAo&h=AT3sidHr3fsHpto107TPeA3KzNfFW661SkKvd-4-I8XbZ_O-3q4oxgvlzx59Q0dt0anc6wkobuxHE-CZ-3iL3vr2PKAnBLU9sJ8i0tXQ5HSYpdWxqfp240P14_qIlA2cRaHmYDKZVfZrNG9isq59FL9xzI4,2017,Claudia Cani,download.png (https://dl.airtable.com/.attachments/07ca93adc54b4970ee87c5b1d79588a5/4623c2f2/download.png)
Nemoloko,Produces plant-based milks and creams,Plant-based,Dairy,End product formulation and manufacturing,"Milk,Other dairy",,"Oat,Rice,Buckwheat",Europe,Russia,,,https://ne-moloko.ru/,2018,,Capture.JPG (https://dl.airtable.com/.attachments/91ed69b0c9797f00a7d5b93ffcf9d703/eb7f55c5/Capture.JPG)
Falafel Bro,Plant-based street food,Plant-based,"Other,Meat",End product formulation and manufacturing,"Other,Cheese,Ground meat",,Chickpea,Europe,Russia,,Moscow,http://falafelbro.ru/,2016,,download (2).jpeg (https://dl.airtable.com/.attachments/a4bfa494a2dab6ce9d0b8706bf27b78f/3afb5f02/download2.jpeg)
Friky,Produces plant-based dairy alternatives,Plant-based,Dairy,End product formulation and manufacturing,"Cheese,Other dairy,Other",,"Soy,Coconut",Europe,Russia,,,http://frikymilk.ru/,,,download (2).png (https://dl.airtable.com/.attachments/b9f3811dffc474dfb2f26764758f2736/7d4d13b6/download2.png)
Mallakto,Produces soy products,Plant-based,"Dairy,Other",End product formulation and manufacturing,"Milk,Other",,Soy,Europe,Russia,,Moscow,https://vk.com/mallakto,,,hcmp165792_645235.jpeg (https://dl.airtable.com/.attachments/81a47684a2e46f84efc0fbfbb20dfd11/d80a2a4e/hcmp165792_645235.jpeg)
Seva Foods,Produces plant-based freeze dried ice cream and coconut jerky,Plant-based,"Dairy,Meat",End product formulation and manufacturing,"Other dairy,Other meat",,Coconut,U.S. and Canada,United States,CA,Encinitas,http://sevafoods.com/,2017,Michelle May,sevafoods.png (https://dl.airtable.com/.attachments/2abb758be36366424ab163dffbc72a77/5d657df0/sevafoods.png)
Starlite Cuisine,Maker of plant-based enchiladas and taquitos from soy and pea protein ,Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Chicken,Pork,Beef/veal","Soy,Mushrooms,Chickpea,Pea",U.S. and Canada,United States,CA,Seal Beach,https://starlitecuisine.com/,2000,"June Wang Lim, Selene Wang",starlitecuisine.png (https://dl.airtable.com/.attachments/8467c39311b9c58deaa6c544c63d2196/f65e72c1/starlitecuisine.png)
Sol Cuisine,"Produces veg-forward burgers & appetizers, falafel, and plant based meats (burgers, breakfast, chicken, meatballs, fish).  Expanding to US market.",Plant-based,"Meat,Contract manufacturing/processing,Seafood",End product formulation and manufacturing,Other meat,"Fish,Chicken,Beef/veal","Soy,Wheat",U.S. and Canada,Canada,ON,Mississauga,https://solcuisine.com/,1980,Dror Balshine,solcuisine.png (https://dl.airtable.com/.attachments/5ec583dc73ef4a116ca8f702a6b6cdae/ffabbdae/solcuisine.png)
Rilbite,Maker of a plant-based burger seeking biomimicry,Plant-based,Meat,End product formulation and manufacturing,Other meat,Beef/veal,"Soy,Coconut",Africa/Middle East,Israel,,Ashdod,https://www.rilbite.com/,2017,Barak Melamed,rilbite.PNG (https://dl.airtable.com/.attachments/2ce7bd92dfbd60b3b69d28b0d356d781/96fa6296/rilbite.PNG)
Spread'Em Kitchen,Produces plant-based cheese and dips,Plant-based,Dairy,End product formulation and manufacturing,"Cheese,Other dairy",,"Almond,Cashew",U.S. and Canada,Canada,BC,Vancouver,http://spreademkitchen.com/,2014,Mellisa Mills,spreademkitchen.png (https://dl.airtable.com/.attachments/9da214364c59f85f8c935db86d34bcfb/b4b69558/spreademkitchen.png)
Risofu,Produces rice curd-based meat that resembles raw ground beef,Plant-based,Meat,End product formulation and manufacturing,Ground meat,,Rice,U.S. and Canada,United States,FL,Windermere,https://www.morinibrands.com/,1919,Alfonso Morini,morinibrands.PNG (https://dl.airtable.com/.attachments/14ec8002408e8b49e85912f00dafc747/9a5b10f2/morinibrands.PNG)
Sophie's Kitchen,Plant-based seafood,Plant-based,"Meat,Seafood",End product formulation and manufacturing,"Other meat,Whole muscle meat,Ground meat","Fish,Shellfish","Pea,Potato,Rice",U.S. and Canada,United States,CA,Sebastopol,http://sophieskitchen.com/,2010,Eugene Wang,sophieskitchen.PNG (https://dl.airtable.com/.attachments/6778e72fc1d8fd9bafc194147744819e/ec0c0956/sophieskitchen.PNG)
Rebbl,Produces plant-based RTD beverages and milks,Plant-based,Dairy,End product formulation and manufacturing,Milk,,Coconut,U.S. and Canada,United States,CA,Emeryville,https://rebbl.co/,2012,"
David Batstone",rebbl.PNG (https://dl.airtable.com/.attachments/5fe20f8f7ddf9763ab2540fac54bfb06/ba8ed8be/rebbl.PNG)
Vedgy Kitchen,Maker of a variety of vegetable-forward plant-based meats ,Plant-based,Meat,End product formulation and manufacturing,"Other meat,Other",,"Mushrooms,Other",Europe,Netherlands,,Utrecht,https://www.vedgykitchen.nl/contact/over-ons/,2014,,vedgykitchen.png (https://dl.airtable.com/.attachments/16343963b5016c03de110ea6a50e037f/29b0d651/vedgykitchen.png)
Reveri,Produces plant-based ice cream,Plant-based,Dairy,End product formulation and manufacturing,Other dairy,,"Almond,Tapioca",U.S. and Canada,United States,California,Los Angeles,https://www.reveri.com/,2017,Karen Waddell,reveri.png (https://dl.airtable.com/.attachments/654a30fdc7a5d4e3c75795f7bb94afef/61f51927/reveri.png)
Silk,"Produces plant-based milks (soy, almond, coconut, and cashew-based), as well as plant-based yogurt and creamer. ",Plant-based,Dairy,End product formulation and manufacturing,"Milk,Other dairy",,"Almond,Oat,Soy,Coconut,Cashew",U.S. and Canada,United States,CO,Boulder,https://silk.com/,1978,Steve Demos,silk.png (https://dl.airtable.com/.attachments/acbb96c5d7f375035dff2756900d0058/64f8e2a6/silk.png)
Seamore,"Produces plant-based meat substitutes out of seaweed, among other seaweed products",Plant-based,Meat,End product formulation and manufacturing,Other meat,,Algae,Europe,Netherlands,N/A,Amsterdam,https://seamorefood.com/,2015,Willem Sodderland,seamore.png (https://dl.airtable.com/.attachments/60b01118ce4db2a634c2925a9b78dd56/221e8059/seamore.png)
Ripple Foods,Produces pea-based milks,Plant-based,Dairy,End product formulation and manufacturing,"Milk,Other dairy",,Pea,U.S. and Canada,United States,CA,Emeryville,http://ripplefoods.com/,2014,"Adam Lowry, Neil Renninger",ripple.PNG (https://dl.airtable.com/.attachments/2fdb360cc810cd96ebd3a8e801d3050c/61a7cf9a/ripple.PNG)
Sweet Earth Natural Foods,"Produces prepared meals/burritos/breakfast sandwiches, some of which are vegan/vegetarian. Benevolent bacon, veggie saUnited Statesge, and seitan also sold separately",Plant-based,Meat,End product formulation and manufacturing,"Ground meat,Other meat,Eggs","Chicken,Beef/veal,Pork,Turkey","Wheat,Soy,Buckwheat,Pea",U.S. and Canada,United States,CA,Moss Landing,http://www.sweetearthfoods.com/,1978,"Caren Hicks, Brian Swette, Kelly Swette",sweetearth.PNG (https://dl.airtable.com/.attachments/7bc81a1f3e3890dc861bc415af08fd1d/c193fc01/sweetearth.PNG)
Sweet Nothings,Maker of plant-based ice cream/frozen yogurt,Plant-based,Dairy,End product formulation and manufacturing,Other dairy,,Cashew,U.S. and Canada,United States,,,https://www.eatsweetnothings.com/,2019,Jake Kneller,sweetnothings.PNG (https://dl.airtable.com/.attachments/99cda0bb0a208db05579f60119667739/4c085eb1/sweetnothings.PNG)
Simply Eggless,"Shelf-stable liquid plant-based egg for frying, scrambling, and baking from a lupin bean base",Plant-based,Eggs,End product formulation and manufacturing,Eggs,,Lupine,U.S. and Canada,United States,NY,Great Neck,https://trysimplyeggless.com/,2019,,simplyeggless.png (https://dl.airtable.com/.attachments/ad7f8a3eea56919b65b30da2daaa7cd9/895e106e/simplyeggless.png)
Sunfed Meats,Plant-based chicken chunks and bacon strips,Plant-based,Meat,End product formulation and manufacturing,"Other meat,Ground meat","Pork,Chicken",Pea,Asia Pacific,New Zealand,Auckland,Auckland,https://sunfedfoods.com/,2015,Shama Sukul Lee,sunfed.PNG (https://dl.airtable.com/.attachments/d87c8e1bec5fa6e9010eaec400e7a2a0/994959d0/sunfed.PNG)
Ruby Rockets,"Produces dairy-free yogurts designed for kids. They come in gogurt-like packages, and are sweetened with fruits and vegetables only. ",Plant-based,Dairy,End product formulation and manufacturing,Other dairy,,Coconut,U.S. and Canada,United States,NY,New York,https://www.rubyrockets.com/,2013,Wendy Makkena,ruby-rockets.png (https://dl.airtable.com/.attachments/abf51585d8852ed3d296b0878faeb7f1/26bd6865/ruby-rockets.png)
Tang Huset,"Maker of ""Cavi-art"" seaweed-based caviar",Plant-based,"Eggs,Seafood",End product formulation and manufacturing,Eggs,Fish,Algae,"Europe,U.S. and Canada",Denmark,,,http://tang-huset.dk/en/tang-huseten/,1988,Jens Møller,caviart.PNG (https://dl.airtable.com/.attachments/4f8a501777f7c9c39e69eb16d2a9d405/3f5958fc/caviart.PNG)
Rebellyous Foods,"Rebellyous produces plant-based chicken nuggets with a focus on foodservice such as hospitals, corporate cafeterias, and schools. They also have limited retail distribution in the Pacific Northwest of the United States, with an eye toward national retail expansion. ",Plant-based,Meat,End product formulation and manufacturing,Other meat,Chicken,Soy,U.S. and Canada,United States,WA,Seattle,"https://rebellyous.com/
",2017,Christie Lagally,Rebellyous-Foods.gif (https://dl.airtable.com/.attachments/c97637024715bb4b5578ad576207ac62/b0160c2a/Rebellyous-Foods.gif)
Siete Foods,Produces cashew queso and plant-based snacks like tortilla chips,Plant-based,Dairy,End product formulation and manufacturing,Cheese,,Cashew,U.S. and Canada,United States,TX,Austin,https://sietefoods.com/,2014,"Veronica Garza, Miguel Garza, Aida Garza",seite.png (https://dl.airtable.com/.attachments/2cd495367b73ee21ac47a253c3602b91/fcbacc2c/seite.png)
Something Better Foods,Plant-based meat developed by Chef Chew,Plant-based,"Meat,Seafood",End product formulation and manufacturing,Other meat,"Beef/veal,Chicken,Fish","Chickpea,Soy,Rice",U.S. and Canada,United States,CA,Oakland,https://www.somethingbetterfoods.com/,2011,GW Chew,somethingbetter.PNG (https://dl.airtable.com/.attachments/642abff4e01e84599c510104aa01383b/5d0028b8/somethingbetter.PNG)
Deep Indian Kitchen,"Producer of frozen Indian meals, including vegan and vegetarian options. ",Plant-based,Meat,End product formulation and manufacturing,,,,U.S. and Canada,United States,NJ,Union,https://deepindiankitchen.com/,,,deepindiankitchen.PNG (https://dl.airtable.com/.attachments/3f929c4b939b70009bc2e96f0f02948f/e101f3c2/deepindiankitchen.PNG)
Revolution Gelato,Produces cashew and coconut based gelato,Plant-based,Dairy,End product formulation and manufacturing,Other dairy,,"Coconut,Cashew",U.S. and Canada,United States,GA,Atlanta,https://www.revolutiongelato.com/,2012,Jared Olkin,revolution gelato.png (https://dl.airtable.com/.attachments/0618ed29f26a1598c7ad5c6ade542e24/bcf739fb/revolutiongelato.png)
Sir Kensington's,Produces fabanaise (chickpea aquafaba based).,Plant-based,Eggs,End product formulation and manufacturing,Eggs,,Chickpea,U.S. and Canada,United States,NY,New York,https://sirkensingtons.com/,2008,"Mark Ramadan, Scott Norton",sirkensingtons.png (https://dl.airtable.com/.attachments/c750554a9b7b9f286f4adad24a1ad21e/1cbce1da/sirkensingtons.png)
Snacklins,Produces plant-based pork rinds,Plant-based,Meat,End product formulation and manufacturing,Other meat,Pork,Mushrooms,U.S. and Canada,United States,DC,District of Columbia,https://www.snacklins.com/,2016,"Logan McGear, Samy Kobrosly",snacklins.PNG (https://dl.airtable.com/.attachments/780156649c126e94d2e7bb9c22b11a85/f04d934c/snacklins.PNG)
Sunshine Burger,Produces veggie burgers,Plant-based,Meat,End product formulation and manufacturing,Other meat,,"Rice,Sunflower",U.S. and Canada,United States,WI,Fort Atkinson,https://www.sunshineburger.com/,1983,Carol Debberman,sunshine-burger.png (https://dl.airtable.com/.attachments/080458bf5aadddbcd9b27cd205c69103/466bf60d/sunshine-burger.png)
Sweet Action Ice Cream,Produces dairy-based and dairy-free ice creams,Plant-based,Dairy,End product formulation and manufacturing,Other dairy,,"Soy,Coconut",U.S. and Canada,United States,CO,Denver,https://www.sweetactionicecream.com/,2009,"Sam Kopicko, Chia Basinger",sweetaction.PNG (https://dl.airtable.com/.attachments/fbe40ba1aabf90a0186e22a8da777bab/621a24a9/sweetaction.PNG)
Sirabella's Vegan Cheesecake,Produces vegan cheescakes that taste like the real thing and have half the calories and zero cholesterol.,Plant-based,Dairy,End product formulation and manufacturing,"Cheese,Other dairy",,Soy,U.S. and Canada,United States,NJ,Clifton,http://www.VeganCheesecake.net,2014,"Avi Strauss, Marc Sirabella",sirabellas.png (https://dl.airtable.com/.attachments/4d5c7116869dd953657940309a0fa61d/f20bc2fe/sirabellas.png)
Zero Egg,Produces liquid plant-based eggs for classic cooking and baking,Plant-based,Eggs,End product formulation and manufacturing,Eggs,,"Soy,Pea,Yeast,Chickpea",Africa/Middle East,Israel,HaMerkaz,Kfar Saba,https://zeroeggfood.com/,2018,"Liron Nimrodi, Amiel David",ZE-logo-horiz-black.png (https://dl.airtable.com/.attachments/8f9ab100b61936ebea504bcba9ce82d0/649a1376/ZE-logo-horiz-black.png)
ZenSoy,"Produces soy milk, soy pudding, and almond pudding. ",Plant-based,Dairy,End product formulation and manufacturing,Other dairy,,"Almond,Coconut",U.S. and Canada,United States,NJ,South Hackensack,http://zensoy.com/,1999,Cyrus Schwartz,zen_logo.png (https://dl.airtable.com/.attachments/d409a7513e9823a91321b808dd1d3321/194fd1ab/zen_logo.png)
Kinoko-Tech,"Offers an alternative protein based on mycelium from edible mushrooms, legumes, and grains.",Biomass fermentation,"Meat,Bioprocessing infrastructure and equipment","Target molecule selection,Bioprocess design,End product formulation and manufacturing",Ground meat,"Beef/veal,Chicken",Mushrooms,Africa/Middle East,Israel,,Rehovot,https://kinoko-tech.com,2019,"Jasmin Ravid, Daria Feldman, Hadar Shohat ",kinoko.jpeg (https://dl.airtable.com/.attachments/961645e164e032968f6d09ab3fc6fd82/67dc4cb0/kinoko.jpeg)
The Mediterranean Food Lab,"Uses raw materials of the Mediterranean Diet: grains, legumes, nuts, and seeds to drive fermentation.",Traditional fermentation,"Dairy,Meat",End product formulation and manufacturing,"Other meat,Milk,Cheese",,Other,Africa/Middle East,Israel,,,https://www.med-food-lab.com/,2017,"BZ Goldberg, Omer Ben Gal, Yair Yosefi",Capture.JPG (https://dl.airtable.com/.attachments/2bc8d1ee9bba73bc5763a1c72536b4aa/0694c515/Capture.JPG)
Imagindairy,Produces animal-free dairy products and uses AI technology with systems biology to increase the expression of milk proteins in microflora.,Precision fermentation,"Dairy,Bioprocessing infrastructure and equipment","End product formulation and manufacturing,Bioprocess design","Milk,Cheese",Other,Other,Africa/Middle East,Israel,,,https://imagindairy.com/about/,2020,"Eyal Afergan, Tamir Tuller",imagindairy logo.jpeg (https://dl.airtable.com/.attachments/c76c6c60518fef9c0b35c5dce274264c/7e7de4a1/imagindairylogo.jpeg)
Fantastic Farms,Produces dairy and eggs from plant proteins.,Plant molecular farming,Dairy,End product formulation and manufacturing,"Milk,Eggs,Other dairy",Other,,Africa/Middle East,Israel,,Tel Aviv,https://www.fantasticfarms.com/,2019,"Aviel Even, Dan Even, Talmon Marco",fantastic farms logo.png (https://dl.airtable.com/.attachments/d670c86a3948e1d56b1417601d9c0647/1fef110f/fantasticfarmslogo.png)
Chunk Foods,"Makes clean label, plant-based whole cut products. ",Traditional fermentation,Meat,End product formulation and manufacturing,Whole muscle meat,,,Africa/Middle East,Israel,,Tel Aviv,https://www.chunkfoods.com/home,2020,Amos Golan,chunk foods logo.jpeg (https://dl.airtable.com/.attachments/c46855c1a4c10abb524c6c6843e58aa5/525b43d7/chunkfoodslogo.jpeg)
WonderMeat,"Produce plant-based meats such as burgers, sausages, ground meat and kebabs.",Plant-based,Meat,End product formulation and manufacturing,"Ground meat,Other meat",,,Africa/Middle East,Israel,,,https://www.wondermeat.com,2020,,logo-wonders.png (https://dl.airtable.com/.attachments/8ae5f13883872d4c9ad6ceb216d0f139/f992cdf4/logo-wonders.png)
Redefine Meat,First company to develop a new additive manufacturing technology specifically for food printing.,Plant-based,"Meat,Food processing infrastructure and equipment","Scaffolding and structure,End product formulation and manufacturing",Whole muscle meat,Beef/veal,,Africa/Middle East,Israel,,,https://www.redefinemeat.com/,2018,"Adam Lahav, Eshchar Ben-Shitrit",redefineMeat.PNG (https://dl.airtable.com/.attachments/24045e3a49f34697bd252f9929fc09ab/419c9b80/redefineMeat.PNG)
CHKP Foods,U.S.-based company that develops and produces fermented plant-based milk products,Plant-based,"Dairy,Ingredients and inputs","End product formulation and manufacturing,Ingredient optimization","Milk,Cheese,Other dairy",,Chickpea,"U.S. and Canada,Global",Israel,,Tel Aviv,https://chkpfoods.com/about/,2019,"Noam Sharon, Noam Dekkers",planterra logo.png (https://dl.airtable.com/.attachments/4c715e3851aa42b3f9055922221bfcda/5a13ee7a/planterralogo.png)
POW! Foods,"We believe in a nutritious, healthy and ethically responsible diet with our planet and with animals. We use science to make delicious plant-based substitutes for those foods you love so much.",Plant-based,Meat,End product formulation and manufacturing,Ground meat,Pork,,Latin America,Chile,,Santiago,https://powfoods.cl/,2019,"Bárbara León, Eyleen Obidic, Diego Espinoza",cropped-rosado-3-1.png (https://dl.airtable.com/.attachments/a264cf75661eb0e7afdfcee3b48b89b5/78f26982/cropped-rosado-3-1.png)
The Fast Good Company,Plant based frozen meals,Plant-based,Meat,End product formulation and manufacturing,Other,,,Europe,Netherlands,,The Hague,https://www.thefastgoodcompany.com/,2019,"Dylan Duinmaijer, Stéphanie de Jong",Logo (1).webp (https://dl.airtable.com/.attachments/057078ca2a0be1ed052dd62674f60124/14995cfc/Logo1.webp)
Veggletto,Licensing out technology for functional egg replacement via fermentation,Plant-based,Eggs,"End product formulation and manufacturing,Target molecule selection",Eggs,,,Asia Pacific,Australia,NSW,,https://veggletto.com/,2017,"Deborah Lewis, David Lewis",Screen Shot 2020-12-08 at 10_58_03 AM.png (https://dl.airtable.com/.attachments/51ab25b0f8ae192052d6c92f56e418f3/c394b3f8/ScreenShot2020-12-08at10_58_03AM.png)
Update Foods,Algae-based dairy producer,Plant-based,Dairy,End product formulation and manufacturing,Milk,,Algae,Europe,France,,,https://www.updatefoods.co/,2020,,Screen Shot 2020-12-08 at 11_08_08 AM.png (https://dl.airtable.com/.attachments/98d89b28e583bbabf1902b0aaf1d77b3/dbad0391/ScreenShot2020-12-08at11_08_08AM.png)
WTH Foods,"WTH has taken the challenge of turning vegetables into something fit for meaty cravings. Our products are plant-based, sustainably made with local ingredients, and inspired by local flavors. We create favorite Filipino food that’s healthy and kind to all – our farmers, the animals, the planet, and especially you.",Plant-based,Meat,End product formulation and manufacturing,Ground meat,,,Asia Pacific,Philippines,,Manilla,https://www.wthfoods.ph/,2019,"Carlo Antonio Ng, Carissa Jane Lim, Stephen Michael Co",Screen Shot 2020-12-08 at 1_24_30 PM.png (https://dl.airtable.com/.attachments/1555493fab3a90eb2968dc1b77e2a050/f9375894/ScreenShot2020-12-08at1_24_30PM.png)
Shandi Global,Chicken made from natural plant ingredients,Plant-based,Meat,End product formulation and manufacturing,Whole muscle meat,Chicken,Lentils,Asia Pacific,Singapore,,Singapore,https://shandiglobal.com/,2018,Reena Sharma,Screen Shot 2020-12-08 at 1_29_40 PM.png (https://dl.airtable.com/.attachments/7c5a5a2660c55d54feb270d0ced765dd/2f15d95b/ScreenShot2020-12-08at1_29_40PM.png)
Fenn Foods,"Australia-based company that produces plant-based products, including chicken, beef, and schnitzel, primarily under the brand ""vEEF""",Plant-based,Meat,,Ground meat,"Chicken,Beef/veal,Pork",,Australia,Australia,QLD,Kuluin,https://fennfoods.com/,2015,"Alejandro Cancino, Paola Moro",Screen Shot 2020-12-08 at 2_13_46 PM.png (https://dl.airtable.com/.attachments/508581c0434d06cdf7778bde71dcede2/1f00f9eb/ScreenShot2020-12-08at2_13_46PM.png)
La Vie,"Maker of plant-based bacon selling under the Grand Gousier brand and B2B (formerly 77Foods)
",Plant-based,Meat,End product formulation and manufacturing,Whole muscle meat,Pork,,Europe,France,,Paris,https://www.laviefoods.com/en/,2019,Nicolas Schweitzer,La Vie logo.svg (https://dl.airtable.com/.attachments/54931dbe6af1df5d5c1318e9db93a13d/91b691c7/LaVielogo.svg)
WhiteBoard Foods,"Built on Spiderwort's Aerocell™ and Hydrocell™ technologies, our scaffolds are produced with GRAS components and provide the flexibility to meet the engineering demands of your cell-cultured and plant-based food products",Plant-based,"Ingredients and inputs,Meat",Scaffolding and structure,Whole muscle meat,,Other,U.S. and Canada,Canada,,,https://www.whiteboardfoods.com/,2020,Andrew Pelling,Screen Shot 2020-12-08 at 2_54_34 PM.png (https://dl.airtable.com/.attachments/c8b332e4da3ef042ac6fec2a89919065/4ae2412a/ScreenShot2020-12-08at2_54_34PM.png)
Vesta Food Lab,"Vesta Food Lab decodes sustainable deliciousness. We are the first venture-capital-backed food technology company based in China to focus on plant-based substitutes. Founded in 2019, we are on a mission to revolutionize how people access and consume protein. We are led by a team of experienced serial entrepreneur, three-starred Michelin chef, macromolecular research chemist, and food engineering scientist.",Plant-based,Meat,End product formulation and manufacturing,Ground meat,Pork,,Asia Pacific,China,,Beijing,http://www.vestafoodlab.com/,2019,Zihan Xie,Screen Shot 2020-12-08 at 3_14_11 PM.png (https://dl.airtable.com/.attachments/8261fa3b98688b6e7de386147e2eb953/27f61548/ScreenShot2020-12-08at3_14_11PM.png)
Avant Meats,"Hong Kong-based company using proprietary biotechnology platform to produce cultivated fish products, including food, skincare, and other functional applications",Cultivated,"Meat,Seafood",End product formulation and manufacturing,Ground meat,Fish,,Asia Pacific,Hong Kong,,Hong Kong,https://www.avantmeats.com/,2018,"Carrie Chan, Mario Chin",tbnkq9whzxvh5fxpj6uj.png (https://dl.airtable.com/.attachments/0012f06f21c7d51bbb38fb2ed66fa239/17526dcb/tbnkq9whzxvh5fxpj6uj.png)
Biomimetic Solutions,U.K.-based startup working on 3D scaffolds for cultivated meat layering,Cultivated,Meat,Scaffolding and structure,,Beef/veal,,Europe,United Kingdom,,London,http://www.biomimeticsolutions.com.br/,2017,"Alana Santos Benz, Lorena Viana Souza, Aline Bruna da Silva, Roberta Ferreira Viana",jifkdonmxfm2n8fnr43g.jpg (https://dl.airtable.com/.attachments/e0ab017ee5283aa8d7645f21d454ba6c/246bff4e/jifkdonmxfm2n8fnr43g.jpg)
BioTech Foods,"Spain-based startup producing cultivated meat products, acquired by Brazil-based JBS in 2021",Cultivated,Meat,End product formulation and manufacturing,Ground meat,Beef/veal,,Europe,Spain,,San Sebastián,https://www.biotech-foods.com/ethicameat/,2017,Mercedes Vila Juarez,dko8ln1xykb67qgiek0w.png (https://dl.airtable.com/.attachments/89d016495699a6b2ce51271c5005e2c7/554f84bc/dko8ln1xykb67qgiek0w.png)
SciFi Foods,U.S.-based start-up working on cultivated and cultured meat products (formerly Artemys Foods) ,Cultivated,Meat,End product formulation and manufacturing,Ground meat,Beef/veal,,U.S. and Canada,United States,California,San Francisco,https://scififoods.com/,2019,"Jessica Krieger, Joshua March",ncvgvj1raxbf6q4zpkgv.png (https://dl.airtable.com/.attachments/5a22817f772a3d399a8b88483be12828/ec9b1dd7/ncvgvj1raxbf6q4zpkgv.png)
Biomilq,U.S.-based startup producing cultivated human breast milk for infants,Cultivated,Dairy,End product formulation and manufacturing,Milk,,,U.S. and Canada,United States,North Carolina,Durham,https://www.biomilq.com/,2019,"Michelle Egger, Leila Strickland",gj4qlzrcugzweabq1lwm.png (https://dl.airtable.com/.attachments/a10cab9e3d204eb14db6ef7769820d28/7946c655/gj4qlzrcugzweabq1lwm.png)
Cellular Agriculture Ltd.,U.K.-based startup developing second generation bioreactor technology for the cultured meat industry,Cultivated,Meat,Bioprocess design,,,,Europe,United Kingdom,,Carmarthenshire,https://www.cellularagriculture.co.uk/,2016,"Illtud Dunsford, Marianne Ellis",tob1nnrhtfgkxkdtn0th.png (https://dl.airtable.com/.attachments/760108f15df5c602b6629e115c6a340c/7078f452/tob1nnrhtfgkxkdtn0th.png)
Biftek,Turkey-based start-up working on cultivated meat and serum free cell culture media,Cultivated,Meat,Cell culture media,,Beef/veal,,U.S. and Canada,Turkey,,Gölbaşı,http://biftek.co/,2018,"Can Akcali, Erdem Erikci",rpcu5xfvpzpfv5tl6oun.png (https://dl.airtable.com/.attachments/9a90f1bd9a2e2c40d42a9660167873e0/6fd34279/rpcu5xfvpzpfv5tl6oun.png)
Cell Ag Tech,Canada-based startup working to produce sustainable seafood from stem cells instead of living animals,Cultivated,"Meat,Seafood",End product formulation and manufacturing,Whole muscle meat,Fish,,U.S. and Canada,Canada,Ontario,Toronto,https://cellagtech.com/,2018,"Josh Pollack, Valentin Fulga",pyoiwe1v6js22kj4s6k2.png (https://dl.airtable.com/.attachments/3679eb2ace7100f7a3aba85a91f9acb5/fe11706c/pyoiwe1v6js22kj4s6k2.png)
Alpro,"Produces soy, almond, hazelnut, coconut, oat and rice beverages, including the first non-soy, plant- based milk alternatives to be commercialized on a large scale in Europe. Products also include plant-based alternatives to yogurt, cream, and margarine. Also manages Provamel brand.",Plant-based,Dairy,End product formulation and manufacturing,Milk,,"Soy,Almond,Rice,Oat","U.S. and Canada,Europe,Africa/Middle East",Belgium,N/A,Ghent,www.alpro.com/uk,1980,subsidiary of Vandemoortele Group,download (1).jpg (https://dl.airtable.com/.attachments/e420c9002559f12e160c506147ca388d/398b34c7/download1.jpg)
BlueNalu,U.S.-based startup producing cultivated seafood products,Cultivated,"Meat,Seafood",End product formulation and manufacturing,Whole muscle meat,Fish,,U.S. and Canada,United States,California,San Diego,https://www.bluenalu.com/,2017,"Lou Cooperhouse, Chris Somogyi, Chris Dammann",crwil2a6rqt1m5mocbqm.jpg (https://dl.airtable.com/.attachments/4ab40971893cc40ec492cd87a038e26c/704a8672/crwil2a6rqt1m5mocbqm.jpg)
ArtMeat,Russia-based start-up working on cultivated horse and sturgeon cells,Cultivated,"Meat,Seafood",End product formulation and manufacturing,"Ground meat,Other","Fish,Other",,Asia Pacific,Russia,,Kazan,http://artmeat.pro/,2019,"Askar Latyshev, Albert Rizvanov, Elena Zakirova",download.jpg (https://dl.airtable.com/.attachments/7b8f1eb3c78a7be1af645f9cac443eb0/e0bbb2c6/download.jpg)
