name,summary,link,Primary focus,Location,Founded,Business model,Protein category,Ingredients,Technology focus,End product application,Meat fish analogs
Matco Foods,"Matco Foods Limited is the largest basmati rice exporter from Pakistan. Its flagship brand ""Falak Rice"" is available in more than 65 countries worldwide. Its existing product portfolio includes basmati rice, organic brown and white basmati rice, rice bran oil, Himalayan pink salt, food ingredients, snacks and organic rice glucose and rice protein products. As an IFC-Investee company with over 50 years of experience in the rice industry and a global portfolio of over 150 corporate clients, Matco Foods Limited is a leading food corporation in the region.",matcofoods.com,Food and beverages,Pakistan,1964,"Contract manufacturing, Ingredients & inputs",Plant-based,Rice,Ingredient optimization,,
Lallemand Bio Ingredients,"Inactive yeast, yeast extracts & autolysates for the global savory and nutritional markets. Fermentation nutrition ingredients for the fermentation industry. Clean label and Non-GMO Project verified.",bio-lallemand.com,Food and beverages,Canada,,Ingredients & inputs,Plant-based,Yeast,Ingredient optimization,,
Glatt,"Glatt – Integrated process solutions
When it comes to fluidized bed technology, Glatt has assumed a pioneering role and is the worldwide leader in integrated process solutions. Glatt offers a unique expertise and product spectrum and a comprehensive support service for pharmaceutical and related powder processing industries. The support service starts with the product development for solid dosage forms and goes far beyond the required process technologies, optionally even covers the planning and installation of the plant required for said technologies.
Glatt covers four areas of expertise:
Process Technology Pharma is the original and top-selling area of expertise of the Glatt brand. It includes the core business of fluidized beds for which Glatt has assumed a pioneering role and is considered a worldwide leading supplier.
Pharmaceutical Services develops and produces solid pharmaceutical dosage forms such as pellets, micropellets and granulates.
Process Technology Food, Feed & Fine Chemicals develops, plans and distributes fluidized and spouted bed systems for the food, feed and chemical industries.
Process & Plant Engineering plans, installs and realizes projects in plant construction worldwide. Its spectrum of expertise ranges from the expansion or reorganization of existing production plants to the construction of new ones – in part or as a whole.
Werner Glatt founded the company in 1954. Today the company has 14 branches and subsidiaries worldwide.Glatt – Integrated process solutions
When it comes to fluidized bed technology, Glatt has assumed a pioneering role and is the worldwide leader in integrated process solutions. Glatt offers a unique expertise and product spectrum and a comprehensive support service for pharmaceutical and related powder processing industries. The support service starts with the product development for solid dosage forms and goes far beyond the required process technologies, optionally even covers the planning and installation of the plant required for said technologies.
Glatt covers four areas of expertise:
Process Technology Pharma is the original and top-selling area of expertise of the Glatt brand. It includes the core business of fluidized beds for which Glatt has assumed a pioneering role and is considered a worldwide leading supplier.
Pharmaceutical Services develops and produces solid pharmaceutical dosage forms such as pellets, micropellets and granulates.
Process Technology Food, Feed & Fine Chemicals develops, plans and distributes fluidized and spouted bed systems for the food, feed and chemical industries.
Process & Plant Engineering plans, installs and realizes projects in plant construction worldwide. Its spectrum of expertise ranges from the expansion or reorganization of existing production plants to the construction of new ones – in part or as a whole.
Werner Glatt founded the company in 1954. Today the company has 14 branches and subsidiaries worldwide.",glatt.com,Food and beverages,Germany,1954,Contract manufacturing,Plant-based,,,,
GoodMills Innovation GmbH,"Als Mitglied Europas führender Mühlengruppe, stellt GoodMills Innovation ein Partner dar, der fundiertes Rohstoff-Know how und innovative Produktlösungen perfekt für Ihre Bedürfnisse kombinierenkann. Wir bieten umfassende sensorische Analysen und Verbraucherforschung zu Food Trends, innovative Rohstoffe für das Backhandwerk, die Industrie und den Handel auf Basis von Getreide, Hülsenfrüchten, Gemüse und Obst. Durch unsere Expertise und Technologien sind die hochwertigen Nährstoffe in den Rohstoffen maximal bioverfügbar. Wir bieten Produktideen und Rohstofflösungen sowohl für das Segment Backhandwerk als auch für das Segment der Lebensmittelindustrie. Wir bleiben innovativ durch Forschungs- und Entwicklungsarbeit, unsere Pflanzentexturate (plantbased textures) beispielsweise bieten Möglichkeiten für zeitgemäße Snacks und vegane Gerichte.",goodmillsinnovation.com,Food and beverages,Germany,,"Contract manufacturing, Ingredients & inputs",Plant-based,Wheat,Ingredient optimization,Meat & fish,
Innov'IA,"Innov'IA, votre partenaire pour la fabrication à façon de nouvelles formes de poudres Innov'IA vous accompagne de la naissance de votre projet au transfert industriel. En vous proposant le sur-mesure en technologies de séchage par atomisation basse température, granulation, micro-encapsulation, prilling et enrobage pour une meilleure conservation d’actifs fonctionnels et l’optimisation de leurspropriétés physiques. Aujourd’hui, Innov’ia est reconnue dans le monde comme un leader européen dans la fabrication à façon de poudres. -25 années d'expérience - 4 sites de production industrielle - plateforme R&D (filiale IDCAPS- La Rochelle) - plateforme R&D (filiale CAPSULAE- Nantes) - Plus de 200 employés - 600 produits fabriqués (Arômes, vitamines, extraits végétaux, aliments santé, Enzymes micro granulés, ...) - sous assurance qualité (ISO 22000 - FSSC 22000)",innov-ia.co.uk,Food and beverages,France,1990,"Contract manufacturing, Ingredients & inputs",Plant-based,,,,
Ecoterra,"ECO TERRA imports, processes and distributes mainly organic products such as: Ancient Andean seeds, premium tree nuts, dry and freeze dry fruits, as well as food supplements to the industry, wholesale, private label and for our own brands. ECO TERRA has built partnerships and joint ventures in the countries of origin of its products in order to guarantee sustainable quality and sourcing.",eco-terra.de,Food and beverages,Germany,,"Contract manufacturing, Ingredients & inputs",Plant-based,"Cereals, Chia, Nuts, Quinoa",,,
HARKE Group,"HARKE GROUP is a powerful chemical and plastics distributor with a strong footprint in Europe and Asia. For more than 50 years we are #ConnectingWorldMarkets on 4 continents, in more than 50 countries, for more than 30 industries through our skilled technical sales, formulation and logistics experts in 16 subsidiaries. We have a proven track record of successful sales and procurement market openings! Active in 6 divisions and 25 business units, supported by 15 service functions, with 3 laboratories, 2 contract packing sites and more than 40.000 deliveries per year HARKE is an attractive partner: One Group, #OnePartnerOneResponsibly, countless opportunities for a successful collaboration in the areas of: • Life Sciences • Chemistry • Coatings, Plastics & Polymers • Plastic Products • Contract Packaging • Imaging As family-owned company in the 2nd generation with business relationships that exist in part as long as the group itself #TheRightChemistry is more for us than just a hashtag, but rather a lived corporate philosophy. We do not think in quarterly balance sheets, we think in generations. We are proud of the pioneering spirit of our founders and the passion of our employees! HARKE offers a broad portfolio of high-quality products from solid principals. The strong network of relevant customers has grown over many years. We develop new markets and applications agile and fast. We continuously expand the scope of our activities. We offer effective, sustainable and dependable solutions. We have all the relevant certifications, including ISO 9001, Responsible Care, EU organic certificate and IFS-HPC2 certificate. We work legally compliant, absolutely REACH conform and are sustainably managed along the entire supply chain. Try it! www.harke.com Find our locations on the map! Imprint: http://bit.ly/1UpDdIA Impressum: http://bit.ly/1lR4EPm",shop.harke.com,Food and beverages,Germany,1965,"Contract manufacturing, Ingredients & inputs",Plant-based,"Algae, Cellulose, Rice",Ingredient optimization,,
Artechno,"Artechno SA est une société spécialisée dans le développement, la production et l’utilisation de microorganismes hautement résistants dans les secteurs humains, animal, végétal et environnemental . Elle est à l’origine une entreprise"" Spin-off"" créée en 1999 issue des recherches menées au sein du Centre Wallon de Biologie Industrielle (CWBI). Le CWBI est un centre interuniversitaire résultant de la collaboration entre l'Université de Liège (ULg) et la Faculté Universitaire des Sciences Agronomiques de Gembloux (FSAGX).
Crée par le Professeur Philippe Thonart, Artechno s’est developpée au fur et à mesure au cours des années. Elle possède actuellement 2 sites indépendants de production incluant des fermenteurs de taille différente, des équipements de séchage et un laboratoire de recherche axée sur la recherche et le développement de nouvelles solutions et nouveaux produits.Artechno SA est une société spécialisée dans le développement, la production et l’utilisation de microorganismes hautement résistants dans les secteurs humains, animal, végétal et environnemental . Elle est à l’origine une entreprise"" Spin-off"" créée en 1999 issue des recherches menées au sein du Centre Wallon de Biologie Industrielle (CWBI). Le CWBI est un centre interuniversitaire résultant de la collaboration entre l'Université de Liège (ULg) et la Faculté Universitaire des Sciences Agronomiques de Gembloux (FSAGX).
Crée par le Professeur Philippe Thonart, Artechno s’est developpée au fur et à mesure au cours des années. Elle possède actuellement 2 sites indépendants de production incluant des fermenteurs de taille différente, des équipements de séchage et un laboratoire de recherche axée sur la recherche et le développement de nouvelles solutions et nouveaux produits.",artechno.be,Food and beverages,Belgium,1999,"Contract manufacturing, Ingredients & inputs",Fermentation,"Fungi, Yeast",Host strain development,,
Bodec,"Bodec is the bridge between knowledge and market. we provide process innovation, creativity and new technologies. Bodec discover progress ...
Bodec is situated in Helmond, on the Food Tech Park Brainport, with a Pilot and Production Plant, in which optimised processes will be developed. Various technologies are being compared, tested and scaled up to pilot production. The customer is able to postpone its investment in its own production.
The development and optimisation of production processes and the translation of new innovative technologies into practice, is in short the scope of Bodec. The focus is on isolation, separation, concentration and drying in the food industry. Bodec aspires the realization of projects that extend from concept development, testing, engineering untill the complete implementation and optimisation of the process, such as valorisation projects or even complete new production processes.
Proces optimisation
Proces development
Technology
Smal scale production ( spray dry tests and production)",bodec.eu,Food and beverages,Netherlands,1994,Contract manufacturing,Plant-based,,,,
Ashland,"Ashland Global Holdings Inc. (NYSE: ASH) is a premier global specialty materials company serving customers in a wide range of consumer and industrial markets, including adhesives, architectural coatings, automotive, construction, energy, food and beverage, nutraceuticals, personal care and pharmaceutical. At Ashland, we are approximately 4,200 passionate, tenacious solvers – from renowned scientists and research chemists to talented engineers and plant operators – who thrive on developing practical, innovative and elegant solutions to complex problems for customers in more than 100 countries. Visit ashland.com to learn more.",ashland.com,Food and beverages,Switzerland,1924,"Contract manufacturing, Ingredients & inputs",Plant-based,Cellulose,,,
De Wit Specialty Oils,"De Wit Speciality Oils is a worldwide specialist in the production and supply of specialty oils serving the nutraceutical, (animal)food and cosmetic industry by producing and supplying high-quality plant-based and marine oils as an essential ingredient for various products.",dewitoils.nl,Food and beverages,Netherlands,1979,Ingredients & inputs,Plant-based,"Algae, Coconut, Flax, Hemp, Pumpkin",,Oils and fats,
ABF Ingredients,"ABFI is the Specialty Ingredients Division of Associated British Foods. It comprises five empowered Businesses, diverse in the technologies they command, but sharing a common set of values, a common Business Model and, above all, a common passion to create value for their customers through innovation, agility and entrepreneurship. These five businesses service diverse industries in Food, Nutrition, Pharmaceuticals , Animal Feed, and other Industrial sectors. Our customers range from very large multinational companies to small and medium size regional organisations. ABFI Specialty ingredients provide its Customers with a wide breadth of functionalities. From taste, texture, shelf life extension, health and wellness in Food, Nutrition and Feed , to bioavailability enhancement and formulation excipients for pharmaceutical applications, productivity and sustainability enhancement in industrial applications. Our people are our foundation. Our employees are engaged, empowered, and expert. Their entrepreneurship, diversity and collaborative team working are what makes ABFI Businesses a partner of choice for their customers.",abfingredients.com,"Animal feed and pet food, Dietary supplements and substitutes, Food and beverages",United Kingdom,2003,"Contract manufacturing, Ingredients & inputs",Plant-based,Soy,Extrusion,,
Henry Lamotte Oils,"Henry Lamotte Oils GmbH is a market leader in the supply and production of oils, waxes and seed flours, as well as colourings and flavourings. We supply to customers in the foodstuffs and pharmaceutical industries and trades, as well as those in the cosmetics industry, animal-feed, and chemical-technical industries. Our high levels of efficiency and productivity are guaranteed by our wide range of selected suppliers worldwide, our continuous contact with the raw materials markets, our on-site production, the comprehensive and customer-oriented services we offer’ we provide and the high standards of our fully equipped quality assurance and product development departments, in addition to our comprehensive quality certificates.",lamotte-oils.de,Food and beverages,Germany,1925,"Contract manufacturing, Ingredients & inputs",Plant-based,"Hemp, Seeds",Ingredient optimization,Oils and fats,
Advanced Protein Technologies Corp,"Advanced Protein Technologies Corp.(APTech) is a biotechnology company whose business goal is process development and manufacturing products related to biopharmaceutical industry. APTech has a lot of experiences to develop process for pharmaceutical recombinant protein using our platform technology called ADpure System™ since its founding in 2001. We has also produced various kinds of Active Pharmaceutical Ingredients as well as protein materials in pharmaceutical process and other biotechnology. Based on that, APTech has participated actively in both domestic and international business fields.
APTech is exerting all possible efforts to materialize its core technology of manufacturing high quality protein with high productivity, which has been steadily demanding from the areas of medicine, food and cosmetic industry.",aptech.biz,Food and beverages,South Korea,2001,"Contract manufacturing, Ingredients & inputs",Fermentation,,Precision fermentation,"Dairy, Milk",
Kingdom Supercultures,"We design natural microbial cultures for food, beverage, and personal care manufacturers. Our Supercultures create entirely new products with exciting flavors, textures, and functional benefits.",kingdomsupercultures.com,Food and beverages,United States,,"Contract manufacturing, Ingredients & inputs",Fermentation,,Ingredient optimization,,
The Live Green Co,"The Live Green Co has developed Charaka, an AI software that replaces the animal, synthetic and ultra-processed additives in our foods with 100% plant alternatives. Live Green blends nature and science to develop clean label, functional and sustainable foods of the future.",thelivegreenco.com,Food and beverages,Chile,2018,"End-consumer brands & products, Ingredients & inputs",Plant-based,"Almond, Avocado, Banana, Beans, Beets, Berries, Black beans, Cacao, Carrots, Cassava, Chia, Chickpea, Cocoa, Flaxseed, Fruits, Garlic, Grains, Lemon, Lentils, Mango, Maple syrup, Mung Bean, Mushroom, Mushrooms, Onion, Other, Other seeds, Oyster Mushrooms, Pea, Potato, Pulses, Pumpkin seeds, Rice, Seaweed, Seeds, Spinach, Sun Flower, Tapioca, Texturized Vegetable Protein, Tomatoes, Vegetables, Water","Ingredient optimization, Target molecule selection","Burger, Ice-cream and desserts",Beef
Arizona Jerky Co.,"Arizona Jerky Co. provides 100% Plant-Based Jerky. Fuel yourself and those around you with our plant-based powered jerky that fulfills your cravings at any moment of the day. Our mission is to empower the community with plant-based food that is good for your body, inspires adventure, and has a sustainable impact on the planet.",arizonajerkyco.com,Food and beverages,United States,2021,End-consumer brands & products,Plant-based,Soy,,Jerky,Beef
The EVERY Company,"The EVERY Company, headquartered in South San Francisco, is a market leader in engineering, manufacturing and formulating animal-free, animal proteins as ingredients for the global food and beverage industry. Originally founded as Clara Foods in 2014, EVERY™ rebranded in 2021 to better capture its vision to bring animal-free proteins to everyone, everywhere.",theeverycompany.com,Food and beverages,United States,2014,"End-consumer brands & products, Ingredients & inputs",Fermentation,"Fungi, Yeast",Precision fermentation,Eggs and egg products,
HealthyProteins BV,"We are a business to business healthy proteins supplier for processing into the infant, sports, growing up, pregnancy and elderly protein formula products. Our focus is, particularly on (organic) plant-based proteins. Besides we supply our ingredients to a growing number of producers of dairy and meat alternative products producers.
HealthyProteins fulfils a position in this rapidly expanding market as a B2B ingredient supplying partner of primarily milled or spray/roller dried proteins and of flour from (organic) plant-based sources such as almond, fava beans, buckwheat, peas, chia, canola, hemp, coco etc.
HealthyProteins BV supplies organic/whole/humane/natural plant-based proteins. We are a dedicated supplier for this sector. The trend is no doubt that plant-based protein applied in high-end consumer brands is becoming mainstream. We are well connected in the supply chain for the above ingredients. We know that processors like yourself are giving the highest priority to securing high-quality ingredients for your brands.
The run on the shelves in supermarkets is phenomenal and the production capacity (machine lines/operators) & structural availability of ingredients are becoming an increasing challenge you might be interested in broadening your supplier base. Never short of ideas we would look forward to speaking to you! Arnauld van Hees (arnauld@healthyprotiens.nl) and Geannys Gonzalez (Geannys@healthyproteins.nl )",healthyproteins.nl,"Food and beverages, Infant nutrition",Netherlands,2020,"Contract manufacturing, End-consumer brands & products, Ingredients & inputs",Plant-based,"Almond, Cashew, Coconut, Hazelnut, Hemp, Macadamia, Mung Bean, Oat, Pea, Peanut, Quinoa, Soy, Sunflower, Tapioca",Ingredient optimization,"Dairy, Other",
RFI Ingredients,"RFI Ingredients specializes in exceptional products and solutions for the dietary supplement, food, and beverage industries. We offer a complete vertical to bring a product to market: • An experienced formulation and applications team • Sustainable farming relationships • Manufacturing ability for a diverse range of products: liquids, capsules, pouches, and more • An in-house microbiological laboratory • On-staff regulatory and claims experts Message us at info@rfiingredients.com to get started!",rfiingredients.com,"Dietary supplements and substitutes, Food and beverages",United States,1989,"Contract manufacturing, Ingredients & inputs","Fermentation, Plant-based","Amaranth, Cereals, Chia, Chlorella, Hemp, Mushroom, Pea, Pumpkin, Quinoa",Ingredient optimization,,
Sunprotein,SunProtein is the effective plant protein produced from sunflower seeds for use in food industry.,sunflowerprotein.com,"Dietary supplements and substitutes, Food and beverages",Russia,2019,"End-consumer brands & products, Ingredients & inputs",Plant-based,,,Other,
Float Foods,"Float Foods is Singapore’s first food tech startup dedicated to the development of a plant-based whole egg substitute.
Developed with proprietary technology created by Float Foods’ in-house research and development team, OnlyEG comprises legumes-based substitutes for both egg yolk and egg white as two distinct components, which can be prepared individually or assembled in minutes into multiple styles of eggs for Asian and Western cuisines. OnlyEG is among the first of its kind to achieve a level of likeness to a real chicken egg.
Float Foods develops food technology and innovations in plant-based foods and alternative proteins with the aim of contributing to Singapore’s food safety and creating a sustainable environment by reducing animal consumption whilst at the same time, enabling consumers to eat healthy, nutritious foods.",floatfoods.com,Food and beverages,Singapore,2020,End-consumer brands & products,Plant-based,legumes,,Eggs and egg products,
Cascadia Seaweed Corp.,Cascadia Seaweed is growing to be the largest North American provider of ocean cultivated seaweed — a climate-positive crop with a variety of uses requiring only the sea and sunlight to grow.,cascadiaseaweed.com,"Animal feed and pet food, Food and beverages",Canada,2019,End-consumer brands & products,"Cultivated, Plant-based",Seaweed,,Ready-to-eat meals & snacks,"Beef, Crab, Salmon"
Driessen Food Extrusion,"Driessen United Blenders has more than 80 years’ experience in providing logistical solutions. As an independent and neutral business partner, we set ourselves apart from other distributors and trading organisations. All your needs taken care of under one roof.",dfe.nl,Food and beverages,Netherlands,1932,Contract manufacturing,Plant-based,,Extrusion,,
QOA,The world's first 100% cocoa-free chocolate - unbelievably delicious! We call it QOA.,qoacompany.com,Food and beverages,Germany,2021,End-consumer brands & products,Fermentation,,Precision fermentation,Chocolate,
Planet B.io,"Planet B.io is the open innovation hub for industrial biotechnology at the Biotech Campus Delft. We create a unique and inspiring environment to learn, share and grow your biotech business.
We are hosting start-ups, tech- and service providers, SMEs and established companies in the field of biotechnology. We support the whole innovation cycle, from idea to commercialization. Join us to accelerate your bio-based innovation and to get access to our ecosystem, building on 150 years of experience in academic research and industrial commercialization.
Planet B.io is a non-profit organisation that contributes to the transition of today's fossil-based, linear economy to tomorrow's bio-based, circular economy, by promoting Industrial Biotechnology. We do so by sharing the incredible amount of biotech knowledge and infrastructure available on the Biotech Campus Delft, where we are located. We actively invest in creating a hub in Delft, the Netherlands, where relevant knowledge and networks are shared, and where you will find a professional workspace that inspires you and enables your business to grow.
We understand that your business is one of the most important things in your life. We also understand that creating a new or innovative business in biotech is not easy. It is our mission to support you to make your business dreams come true. As a tenant of Planet B.io, you do not just rent a lab or an office. You will get access to the ecosystem of industrial biotech knowledge and tools that we are continuously building on. We connect you to the right people and services!
Founding partners of Planet B.io are Royal DSM, Technical University of Delft, Municipality of Delft, Province of South Holland and InnovationQuarter.
Together we proudly build our bio-renewable future boosted by the next level biotechnology.",planet-b.io,Food and beverages,Netherlands,2020,Contract manufacturing,Fermentation,,Bioprocess design,,
Bioprocess Pilot Facility,"The commercialization of bio-based products is a challenging and resource-intense process. Our BPF team has a strong industrial commercial, background and fully understands the demands and complexities of successful scale-up.
We are here to adapt to your specific piloting needs and bridge the gap between development and commercial scale production. Our first-rate facilities, combined with over 40 years of fermentation, downstream processing and bio-process piloting experience, will help ensure your next innovation hits its commercial targets.
BPF’s scaled-down commercial plant is in Delft, the Netherlands. We offer a range of services covering the whole value chain, allowing clients to test how production processes respond to both scale-up and scale-down.
From a) feedstock pre-treatment to b) hydrolysis, c) fermentation and d) downstream processing, in a dedicated food and non-food environment, BPF can handle a variety of biomass feedstocks for commercial manufacture into end products for the biochemical, biofuels, pharmaceutical (e.g. non-clinical) and food industries.",bpf.eu,Food and beverages,Netherlands,2012,Contract manufacturing,Fermentation,,Bioprocess design,,
Twente Foods,Production of fermented plant-based yogurt.,twentefoods.com,Food and beverages,Netherlands,,End-consumer brands & products,Fermentation,,,"Dairy, Yogurt",
NIZO,"NIZO helps food manufacturers innovate to meet changing consumer demands. Our unique multidisciplinary development and pilot production plant help you bring new food products to market fast, and with the best chance of success.",nizo.com,Food and beverages,Netherlands,1948,Contract manufacturing,"Fermentation, Plant-based",,,,
IPSS Engineering,"IPSS Engineering is een multidisciplinair engineeringbureau. Wij leveren innovatieve, technische oplossingen voor proces-technische vraagstukken.
IPSS wordt graag uitgedaagd om van uw ontwerpvraagstuk een technologisch succes te maken!
Vanaf de start in 2005 hebben wij veel ervaring opgedaan, bij toonaangevende bedrijven, in alle fasen binnen een engineeringsproject. Desondanks blijven we kritisch, leergierig en nieuwsgierig en streven we naar het toepassen van de nieuwste technologische ontwikkelingen voor uw proces.",ipss.nl,Food and beverages,Netherlands,2009,Contract manufacturing,Fermentation,,Bioprocess design,,
Cosun,"Royal Cosun is a modern, forward looking cooperative, born and bred in the Netherlands but active across the globe. We recognise the enormous potential of plants and know how to turn them into practical solutions to everyday problems. We produce not only plant based ingredients and foodstuffs for people and animals but also green, biobased applications and energy. Cosun has a clear ambition for 2030: we intend to be 100% plant based, 100% circular and 100% transparent.
Drawing on the strengths of our five business groups – Aviko, Duynie, Sensus, Suiker Unie and SVZ – we are delivering solutions that benefit everyone, every day. Our business groups offer a wide range of distinct products and services but are nonetheless closely related to each other thanks to our clear vision. You can find Cosun’s products everywhere today. Our product range extends from potato fries and sugar syrup to other foodstuffs, such as ingredients for cakes, ice cream, meat substitutes and fruit juices; it also includes animal feed, detergents, wallpaper paste and cosmetics. Visit www.cosun.com for more information.",cosun.com,Food and beverages,Netherlands,1900,Contract manufacturing,Plant-based,,,,
DIL e.V.,"Das DIL Deutsches Institut für Lebensmitteltechnik e. V. hebt täglich neue Potenziale und ebnet den Weg für Food Innovationen. Das Institut wird von rund 175 Mitgliedsunternehmen getragen und ist mit rund 200 Mitarbeitern in den Bereichen Technologie, Analytik, Nachhaltigkeit und Food Data tätig.
The DIL Deutsches Institut für Lebensmitteltechnik e. V. (German Institute of Food Technologies) taps new potentials every day and paves the way for innovations. With about 175 member companies and about 200 employees DIL operates as a research institute working in the areas of food tech, analytics, sustainability and food data.",dil-ev.de,Food and beverages,Germany,1983,Contract manufacturing,Plant-based,,,,
Bio Base Europe Pilot Plant,"Bio Base Europe Pilot Plant is a flexible and diversified pilot plant for the development, scale-up and custom manufacturing of biobased processes and products. It operates at kilogram to multi ton scale and aims at closing the critical gap between scientific feasibility and industrial application of new biotechnological processes.
The Bio Base Europe Pilot Plant in a one-stop-shop that performs the entire value chain in a single plant, from the biomass green resource up to the final bioproduct. The pilot plant is equipped with state-of-the-art equipment to perform biomass pretreatment, biocatalysis, fermentation, up- and downstream purification and green chemistry. It focuses on conversion of biomass (a.o. agricultural crops and by-products, industrial side streams) into biochemicals, biomaterials, biofuels and other bioproducts.
The Pilot Plant is situated in the Port of Ghent in Belgium. It is an independent, open innovation pilot plant and is accessible for companies and research institutions throughout the world.",bbeu.org,Food and beverages,Belgium,,Contract manufacturing,Fermentation,,Bioprocess design,,
Codrico Rotterdam B.V.,"CODRICO is a private independent company operating business to business in the fields of hydro thermal treatment of grain products and flours by extrusion and maize milling, for the production of grits for the corn-flaking, brewing, snack and corn flourindustries.
Codrico combines state of the art technology, technique and supply of raw materials on the basis of an adequate supply-chain-control system. This guarantees top quality performance in all aspects of the organisation. The storage, production plants and offices are situated in the harbour of Rotterdam, The Netherlands. A suitable location like this means money-savings in receiving raw materials and in transportation of end products.
Rotterdam
Being located in Rotterdam gives us a global reach to meet our customer needs. Codrico is a modern, flexible organisation, made up of dynamic and professional people. In addition to invest in the latest production equipment, Codrico invests first and foremost in people; its base-capital for the future. The total production volume of Codrico is over 260,000 MT a year.
Company Philosophy
Codrico Rotterdam BV is a reliable supplier and innovative partner when it comes to top-quality milled maize products and extruded cereal ingredients for the global food and specialty animal nutrition industry. We are flexible, market-oriented and constantly striving to achieve sustainable growth.",codrico.com,Food and beverages,Netherlands,,Ingredients & inputs,Plant-based,"Cereals, Pulses",Ingredient optimization,,
Food Pilot,"De Food Pilot is een applicatie- en analysecentrum dat agro-voedingsbedrijven helpt bij het verbeteren van hun producten en processen. Het is een initiatief van Flanders FOOD en ILVO, www.foodpilot.be",foodpilot.be,Food and beverages,Belgium,,Contract manufacturing,Plant-based,,,,
Rubisco,"Rubisco foods is a Dutch company that produces and develops innovative plant-based food and feed ingredients, specialising in producing water lentil protein gels and powders.",rubiscofoods.com,Food and beverages,Netherlands,2019,Ingredients & inputs,Plant-based,"Duckweed, Lemna",Ingredient optimization,,
"Ajinomoto Co., Inc.","The Ajinomoto Group is a global company with specialties in the business of food and amino acids, guided by our leading-edge bioscience and fine chemical technologies. Based on the corporate message “Eat Well, Live Well.”, we have been scientifically pursuing the possibilities of amino acids in supporting the healthy lives of people all around the world. We aim for future growth and continuous contribution to greater wellness by creating value through sustainable and innovative solutions for communities and society. The Ajinomoto Group has offices in 35 countries and regions, and sells products in more than 130 countries and regions. In fiscal 2018, sales were 1.1274 trillion yen(10.1 billion U.S. dollars). To learn more, visit www.ajinomoto.com.",ajinomoto.com,Food and beverages,Japan,1908,Ingredients & inputs,Plant-based,Lemna,Ingredient optimization,,
Zyrcular Foods,"Desarrollo, producción y distribución de alimentos de proteína alternativa. Queremos ser parte del movimiento alimentario que mejorará el mundo en el que viviremos el día de hoy y de mañana.",zyrcularfoods.com,Food and beverages,Spain,2019,Contract manufacturing,Plant-based,,Bioprocess design,,
SPX Flow,"SPX FLOW solves processing challenges, helping customers lower costs, increase uptime, save energy, reduce waste, and improve quality. We manufacture and deliver high-value technology, service and support to leading nutrition, health, and industrial businesses around the world. From dairy processors and mixers to compressed air treatment, our state-of-the-art Innovation Centers enable us to collaborate with customers to develop and perfect their critical manufacturing processes. Our inventive pumps, values and systems make it easy to provide end-users with high quality products while cutting production costs. We support you, as you support them. With operations in 30 countries, we meet the varying needs of our diverse customer base to make life safer, healthier, and more sustainable. To learn more, please visit spxflow.com",spxflow.com,Food and beverages,United States,2015,Contract manufacturing,Plant-based,,,,
Rubisco,"Rubisco foods is a Dutch company that produces and develops innovative plant-based food and feed ingredients, specialising in producing water lentil protein gels and powders.",rubiscofoods.com,Food and beverages,Netherlands,2019,Ingredients & inputs,Plant-based,"Duckweed, Lemna",Ingredient optimization,,
GrainAnalyser,We help Assaying Protein in food,grainanalyser.com,Other,India,2020,Contract manufacturing,Cultivated,,Crop development,Other,Fish
Adgreen,THE NEW PLANT-BASED SOURCE OF PROTEIN,advancedgreenfarm.com,Food and beverages,Thailand,,Ingredients & inputs,Plant-based,Lemna,Ingredient optimization,,
Impact Food,"At Impact Food, we reimagine sustainable food systems through delicious and nutritious plant-based seafood.",eatimpactfood.com,Food and beverages,United States,2021,End-consumer brands & products,Plant-based,,Ingredient optimization,Meat & fish,"Fish, Seafood, Tuna"
Geneusbiotech,PIONEERS IN [HAIR] TISSUE-ENGINEERING FOR THE ANIMALS [AND HUMANITY],geneusbiotech.com,Food and beverages,Netherlands,1997,End-consumer brands & products,Cultivated,,,Meat & fish,Caviar
Vegan Finest Foods,"Vegan Finest Foods cares about two things most of all: 100% plant-based and 100% great taste. We offer the finest quality plant-based products and the most realistic meat, fish and cheese substitutes. It goes without saying that zero animals were harmed. Oh, and did we mention that our complete range of products is palm oil free?",veganfinestfoods.com,Food and beverages,Netherlands,2018,End-consumer brands & products,Plant-based,"Soy, Tapioca",,Other,
New Roots,"Swiss producer of 100% plantbased cheese, following traditional cheesemaking techniques.",newroots.ch,Food and beverages,Switzerland,2016,End-consumer brands & products,Plant-based,"Berries, Cashew, Fruits, Nuts",,"Cheese, Dairy, Other, Yogurt",
